TransactionDate,Total_Debit,Total_Credit,Transaction_Count,Closing_Balance,Net_Flow,DayOfWeek,Month,WeekOfMonth,IsWeekend,Withdrawal_Count,Deposit_Count,Rolling_7_Day_Average,Rolling_30_Day_Average,Target_Withdrawal_Tomorrow
2021-12-16,2702836.0,2702946.5,169,110.5,110.5,Thursday,12,3,0,1,1,110.5,110.5,2239874.0
2021-12-17,2239874.0,2239836.5,149,73.0,-37.5,Friday,12,3,0,1,1,36.5,36.5,2297320.0
2021-12-18,2297320.0,2743196.0,234,445949.0,445876.0,Saturday,12,3,1,1,1,148649.66666666666,148649.66666666666,1244120.0
2021-12-19,1244120.0,932221.0,94,134050.0,-311899.0,Sunday,12,3,1,1,1,33512.5,33512.5,1904620.0
2021-12-20,1904620.0,2487024.0,169,716454.0,582404.0,Monday,12,3,0,1,1,143290.8,143290.8,1105276.0
2021-12-21,1105276.0,2262502.75,193,1873680.75,1157226.75,Tuesday,12,3,0,1,1,312280.125,312280.125,4440842.0
2021-12-22,4440842.0,5129227.5,314,2562066.25,688385.5,Wednesday,12,4,0,1,1,366009.46428571426,366009.46428571426,3737585.0
2021-12-23,3737585.0,2505792.0,274,1330273.25,-1231793.0,Thursday,12,4,0,1,1,190023.25,166284.15625,1180959.0
2021-12-24,1180959.0,2065187.0,300,2214501.25,884228.0,Friday,12,4,0,1,1,316346.89285714284,246055.69444444444,3424200.0
2021-12-25,3424200.0,1209705.0,175,6.25,-2214495.0,Saturday,12,4,1,1,1,-63706.107142857145,0.625,1850910.0
2021-12-26,1850910.0,1973059.5,280,122155.75,122149.5,Sunday,12,4,1,1,1,-1699.1785714285713,11105.068181818182,466436.0
2021-12-27,466436.0,1557400.5,239,1213120.25,1090964.5,Monday,12,4,0,1,1,70952.32142857143,101093.35416666667,2594024.0
2021-12-28,2594024.0,2318703.25,345,937799.5,-275320.75,Tuesday,12,4,0,1,1,-133697.32142857142,72138.42307692308,521734.0
2021-12-29,521734.0,1829369.25,226,2245434.75,1307635.25,Wednesday,12,5,0,1,1,-45233.07142857143,160388.19642857142,1449901.0
2021-12-30,1449901.0,2050518.0,295,2846051.75,600617.0,Thursday,12,5,0,1,1,216539.7857142857,189736.78333333333,1778874.0
2021-12-31,1778874.0,1569246.5,276,2636424.25,-209627.5,Friday,12,5,0,1,1,60274.71428571428,164776.515625,3493410.0
2022-01-01,3493410.0,3111892.5,349,2254906.75,-381517.5,Saturday,1,1,1,1,1,322128.64285714284,132641.57352941178,913996.0
2022-01-02,913996.0,1240558.0,254,2581468.75,326562.0,Sunday,1,1,1,1,1,351330.4285714286,143414.93055555556,1417780.0
2022-01-03,1417780.0,1989414.5,305,3153103.25,571634.5,Monday,1,1,0,1,1,277140.4285714286,165952.80263157896,3205470.0
2022-01-04,3205470.0,2114585.25,289,2062218.5,-1090884.75,Tuesday,1,1,0,1,1,160631.2857142857,103110.925,3801861.0
2022-01-05,3801861.0,3544813.25,303,1805170.75,-257047.75,Wednesday,1,1,0,1,1,-62894.857142857145,85960.51190476191,3793545.0
2022-01-06,3793545.0,4358285.0,278,2369910.75,564740.0,Thursday,1,1,0,1,1,-68020.14285714286,107723.21590909091,1599300.0
2022-01-07,1599300.0,1707709.5,217,2478320.25,108409.5,Friday,1,1,0,1,1,-22586.285714285714,107753.05434782608,4478838.0
2022-01-08,4478838.0,2898376.0,308,897858.25,-1580462.0,Saturday,1,2,1,1,1,-193864.07142857142,37410.760416666664,5397996.1
2022-01-09,5397996.1,4508921.0,210,8783.15,-889075.0999999996,Sunday,1,2,1,1,1,-367526.51428571425,351.3260000000149,1958586.73
2022-01-10,1958586.73,2634876.25,199,685072.67,676289.52,Monday,1,2,0,1,1,-352575.7971428571,26348.94884615386,1302400.0
2022-01-11,1302400.0,1768103.0,208,1150775.67,465703.0,Tuesday,1,2,0,1,1,-130206.11857142851,42621.32111111112,1598000.0
2022-01-12,1598000.0,1509175.5,202,1061951.17,-88824.5,Wednesday,1,2,0,1,1,-106174.22571428565,37926.827500000014,1664235.0
2022-01-13,1664235.0,1492910.0,167,890626.17,-171325.0,Thursday,1,2,0,1,1,-211326.36857142852,30711.247241379322,966881.0
2022-01-14,966881.0,2134220.93,195,2057966.1,1167339.9300000002,Friday,1,2,0,1,1,-60050.59285714278,68598.87000000002,4468660.0
2022-01-15,4468660.0,3364527.5,278,953833.6,-1104132.5,Saturday,1,3,1,1,1,7996.478571428651,31790.77000000002,2133196.0
2022-01-16,2133196.0,2276825.0,220,1097462.6,143629.0,Sunday,1,3,1,1,1,155525.63571428575,36579.65333333335,2981660.0
2022-01-17,2981660.0,1999362.5,179,115165.1,-982297.5,Monday,1,3,0,1,1,-81415.36714285713,-11026.129999999981,1587846.5
2022-01-18,1587846.5,1474809.0,169,2127.6,-113037.5,Tuesday,1,3,0,1,1,-164092.5814285714,-4397.413333333315,1627802.5
2022-01-19,1627802.5,2788865.5,202,1163190.6,1161063.0,Wednesday,1,3,0,1,1,14462.775714285739,14891.22000000002,2714174.0
2022-01-20,2714174.0,2072320.0,217,521336.6,-641854.0,Thursday,1,3,0,1,1,-52755.652857142835,-45078.138333333314,1413358.0
2022-01-21,1413358.0,1767021.5,176,875000.1,353663.5,Friday,1,3,0,1,1,-168995.14285714287,-56235.538333333316,2539732.0
2022-01-22,2539732.0,2019161.5,275,354429.6,-520570.5,Saturday,1,4,1,1,1,-85629.14285714286,-32528.121666666648,1328956.0
