TransactionDate,Total_Debit,Total_Credit,Transaction_Count,Closing_Balance,Net_Flow,Withdrawal_Amount,Withdrawal_Count,Deposit_Amount,Deposit_Count,Airtime_Amount,Airtime_Count,BillPayment_Amount,BillPayment_Count,WalletTransfer_Amount,WalletTransfer_Count,Transfer_Amount,Transfer_Count,Levy_Amount,Levy_Count,Commission_Amount,Commission_Count,Reversal_Amount,Reversal_Count,Insurance_Amount,Insurance_Count,Other_Amount,Other_Count,DayOfWeek,Month,WeekOfMonth,Quarter,IsWeekend,Average_Withdrawal_Size,Average_Deposit_Size,Credit_Debit_Ratio,Lag_1_Withdrawal_Amount,Lag_1_Deposit_Amount,Lag_7_Withdrawal_Amount,Lag_7_Deposit_Amount,Lag_30_Withdrawal_Amount,Lag_30_Deposit_Amount,Rolling_7_Day_Withdrawal_Amount,Rolling_7_Day_Deposit_Amount,Rolling_30_Day_Withdrawal_Amount,Rolling_30_Day_Deposit_Amount,Target_Next_Day_Withdrawal_Amount,Target_Next_Day_Deposit_Amount,Has_Deposit,Target_Has_Deposit_Tomorrow
2021-12-16,2702836.0,2702946.5,169,110.5,110.5,2491590.5,49,2680140.0,32,196.0,1,4400.0,2,211160.0,2,0.0,0,8100.0,81,0.0,0,196.0,1,0.0,0,0.0,1,3,12,3,4,0,50848.78571428572,83754.375,1.0000408829836511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2074536.5,2229880.0,1,1
2021-12-17,2239874.0,2239836.5,149,73.0,-37.5,2074536.5,42,2229880.0,30,294.0,2,2600.0,1,164300.0,2,1000.0,1,7100.0,71,0.0,0,0.0,0,0.0,0,0.0,0,4,12,3,4,0,49393.72619047619,74329.33333333333,0.9999832579868332,2491590.5,2680140.0,0.0,0.0,0.0,0.0,2491590.5,2680140.0,2491590.5,2680140.0,2736096.0,2277820.0,1,1
2021-12-18,2297320.0,2743196.0,234,445949.0,445876.0,2736096.0,90,2277820.0,26,0.0,0,7900.0,1,7100.0,1,0.0,0,11600.0,116,0.0,0,0.0,0,0.0,0,0.0,0,5,12,3,4,1,30401.066666666666,87608.46153846153,1.1940852819807428,2074536.5,2229880.0,0.0,0.0,0.0,0.0,2283063.5,2455010.0,2283063.5,2455010.0,932221.0,1239420.0,1,1
2021-12-19,1244120.0,932221.0,94,134050.0,-311899.0,932221.0,35,1239420.0,12,0.0,0,0.0,0,0.0,0,0.0,0,4700.0,47,0.0,0,0.0,0,0.0,0,0.0,0,6,12,3,4,1,26634.88571428572,103285.0,0.7493015143233772,2736096.0,2277820.0,0.0,0.0,0.0,0.0,2434074.333333333,2395946.6666666665,2434074.333333333,2395946.6666666665,2485508.0,1894330.0,1,1
2021-12-20,1904620.0,2487024.0,169,716454.0,582404.0,2485508.0,59,1894330.0,24,490.0,1,0.0,0,0.0,0,1516.0,1,8300.0,83,0.0,0,0.0,0,1500.0,1,0.0,0,0,12,3,4,0,42127.254237288136,78930.41666666667,1.3057848809736323,932221.0,1239420.0,0.0,0.0,0.0,0.0,2058611.0,2106815.0,2058611.0,2106815.0,2092182.75,1090060.0,1,1
2021-12-21,1105276.0,2262502.75,193,1873680.75,1157226.75,2092182.75,81,1090060.0,13,4116.0,3,1800.0,1,37300.0,1,0.0,0,9300.0,93,0.0,0,133020.0,1,0.0,0,0.0,0,1,12,3,4,0,25829.416666666668,83850.76923076923,2.0470025133993683,2485508.0,1894330.0,0.0,0.0,0.0,0.0,2143990.4,2064318.0,2143990.4,2064318.0,4989416.5,4417050.0,1,1
2021-12-22,4440842.0,5129227.5,314,2562066.25,688385.5,4989416.5,110,4417050.0,45,392.0,2,7900.0,1,139811.0,1,0.0,0,15500.0,155,0.0,0,0.0,0,0.0,0,0.0,0,2,12,4,4,0,45358.33181818182,98156.66666666669,1.155012382786868,2092182.75,1090060.0,0.0,0.0,0.0,0.0,2135355.7916666665,1901941.6666666667,2135355.7916666665,1901941.6666666667,2505192.0,3719520.0,1,1
2021-12-23,3737585.0,2505792.0,274,1330273.25,-1231793.0,2505192.0,104,3719520.0,31,0.0,0,4565.0,3,0.0,0,600.0,1,13500.0,135,0.0,0,0.0,0,0.0,0,0.0,0,3,12,4,4,0,24088.384615384617,119984.51612903226,0.6704307728118558,4989416.5,4417050.0,2491590.5,2680140.0,0.0,0.0,2543078.75,2261242.8571428573,2543078.75,2261242.8571428573,2055187.0,1163300.0,1,1
2021-12-24,1180959.0,2065187.0,300,2214501.25,884228.0,2055187.0,118,1163300.0,30,294.0,2,2565.0,1,0.0,0,10000.0,1,14800.0,148,0.0,0,0.0,0,0.0,0,0.0,0,4,12,4,4,0,17416.838983050846,38776.66666666666,1.7487372550613527,2505192.0,3719520.0,2074536.5,2229880.0,0.0,0.0,2545021.821428572,2409725.714285714,2538342.90625,2443527.5,783431.0,3406100.0,1,1
2021-12-25,3424200.0,1209705.0,175,6.25,-2214495.0,783431.0,63,3406100.0,22,0.0,0,9700.0,2,162134.0,2,264140.0,2,8400.0,84,0.0,0,0.0,0,0.0,0,0.0,0,5,12,4,4,1,12435.412698412698,154822.72727272726,0.3532810583493955,2055187.0,1163300.0,2736096.0,2277820.0,0.0,0.0,2542257.6071428573,2257357.1428571427,2484658.9166666665,2301280.0,1963972.5,1836720.0,1,1
2021-12-26,1850910.0,1973059.5,280,122155.75,122149.5,1963972.5,110,1836720.0,27,490.0,4,0.0,0,8400.0,1,687.0,1,13700.0,137,0.0,0,0.0,0,0.0,0,0.0,0,6,12,4,4,1,17854.295454545456,68026.66666666667,1.0659942946982834,783431.0,3406100.0,932221.0,1239420.0,0.0,0.0,2263305.464285714,2418540.0,2314536.125,2411762.0,1557400.5,454340.0,1,1
2021-12-27,466436.0,1557400.5,239,1213120.25,1090964.5,1557400.5,102,454340.0,17,196.0,1,0.0,0,0.0,0,0.0,0,11900.0,119,0.0,0,0.0,0,0.0,0,0.0,0,0,12,4,4,0,15268.632352941177,26725.88235294117,3.338937174660618,1963972.5,1836720.0,2485508.0,1894330.0,0.0,0.0,2410698.535714286,2503868.571428572,2282666.7045454546,2359485.4545454546,2141676.25,2569210.0,1,1
2021-12-28,2594024.0,2318703.25,345,937799.5,-275320.75,2141676.25,142,2569210.0,27,294.0,2,7620.0,2,175600.0,2,1427.0,1,16900.0,169,0.0,0,0.0,0,0.0,0,0.0,0,1,12,4,4,0,15082.227112676055,95155.92592592593,0.8938634530752221,1557400.5,454340.0,2092182.75,1090060.0,0.0,0.0,2278111.75,2298155.714285714,2222227.8541666665,2200723.333333333,1812469.25,510240.0,1,1
2021-12-29,521734.0,1829369.25,226,2245434.75,1307635.25,1812469.25,100,510240.0,12,294.0,1,0.0,0,16900.0,1,0.0,0,11200.0,112,0.0,0,0.0,0,0.0,0,0.0,0,2,12,5,4,0,18124.6925,42520.0,3.506325541367824,2141676.25,2569210.0,4989416.5,4417050.0,0.0,0.0,2285182.25,2509462.8571428573,2216031.576923077,2229068.461538461,1625658.0,1432540.0,1,1
2021-12-30,1449901.0,2050518.0,295,2846051.75,600617.0,1625658.0,114,1432540.0,32,196.0,1,2565.0,1,424860.0,1,0.0,0,14600.0,146,0.0,0,0.0,0,0.0,0,0.0,0,3,12,5,4,0,14260.157894736842,44766.875,1.4142469037541183,1812469.25,510240.0,2505192.0,3719520.0,0.0,0.0,1831332.642857143,1951347.142857143,2187205.696428572,2106295.0,1467026.5,1765080.0,1,1
2021-12-31,1778874.0,1569246.5,276,2636424.25,-209627.5,1467026.5,102,1765080.0,34,294.0,2,0.0,0,25800.0,1,36400.0,1,13500.0,135,0.0,0,40020.0,1,0.0,0,0.0,0,4,12,5,4,0,14382.612745098038,51914.117647058825,0.8821571960689739,1625658.0,1432540.0,2055187.0,1163300.0,0.0,0.0,1705684.9285714286,1624635.7142857143,2149769.183333333,2061378.0,2861542.5,3471940.0,1,1
2022-01-01,3493410.0,3111892.5,349,2254906.75,-381517.5,2861542.5,141,3471940.0,29,1470.0,4,3000.0,2,250350.0,3,0.0,0,17000.0,170,0.0,0,0.0,0,0.0,0,0.0,0,5,1,1,1,1,20294.627659574468,119722.06896551725,0.8907893719889736,1467026.5,1765080.0,783431.0,3406100.0,0.0,0.0,1621662.0,1710604.2857142857,2107097.765625,2042859.375,1237947.0,897810.0,1,1
2022-01-02,913996.0,1240558.0,254,2581468.75,326562.0,1237947.0,102,897810.0,23,686.0,2,3000.0,1,0.0,0,2611.0,1,12500.0,125,0.0,0,0.0,0,0.0,0,0.0,0,6,1,1,1,1,12136.735294117649,39035.21739130434,1.3572904038967348,2861542.5,3471940.0,1963972.5,1836720.0,0.0,0.0,1918535.0714285716,1720010.0,2151476.867647059,2126922.9411764704,1986314.5,1397980.0,1,1
2022-01-03,1417780.0,1989414.5,305,3153103.25,571634.5,1986314.5,126,1397980.0,25,0.0,0,4700.0,2,0.0,0,3100.0,1,15100.0,151,0.0,0,0.0,0,0.0,0,0.0,0,0,1,1,1,0,15764.400793650791,55919.2,1.40318984609742,1237947.0,897810.0,1557400.5,454340.0,0.0,0.0,1814817.142857143,1585880.0,2100725.208333333,2058638.888888889,2011470.25,3190780.0,1,1
2022-01-04,3205470.0,2114585.25,289,2062218.5,-1090884.75,2011470.25,107,3190780.0,35,490.0,1,0.0,0,0.0,0,71115.0,3,14200.0,142,0.0,0,0.0,0,0.0,0,32000.0,1,1,1,1,1,0,18798.78738317757,91165.14285714286,0.6596802496981722,1986314.5,1397980.0,2141676.25,2569210.0,0.0,0.0,1876090.5714285716,1720685.7142857143,2094703.5921052631,2023867.3684210528,3439793.25,3784200.0,1,1
2022-01-05,3801861.0,3544813.25,303,1805170.75,-257047.75,3439793.25,116,3784200.0,34,196.0,1,2565.0,1,0.0,0,11000.0,1,14900.0,149,0.0,0,94020.0,1,0.0,0,0.0,0,2,1,1,1,0,29653.39008620689,111300.0,0.932388966877011,2011470.25,3190780.0,1812469.25,510240.0,0.0,0.0,1857489.7142857143,1809481.4285714289,2090541.925,2082213.0,3908492.0,3774290.0,1,1
2022-01-06,3793545.0,4358285.0,278,2369910.75,564740.0,3908492.0,97,3774290.0,39,490.0,1,5365.0,3,412907.0,1,1246.0,1,13400.0,134,0.0,0,35640.0,2,0.0,0,0.0,0,3,1,1,1,0,40293.73195876289,96776.66666666669,1.1488686703334217,3439793.25,3784200.0,1625658.0,1432540.0,0.0,0.0,2089964.5714285716,2277190.0,2154791.988095238,2163260.0,1602089.5,1588600.0,1,1
2022-01-07,1599300.0,1707709.5,217,2478320.25,108409.5,1602089.5,83,1588600.0,25,0.0,0,0.0,0,25600.0,1,0.0,0,10700.0,107,0.0,0,80020.0,1,0.0,0,0.0,0,4,1,1,1,0,19302.28313253012,63544.0,1.0677855936972425,3908492.0,3774290.0,1467026.5,1765080.0,0.0,0.0,2416083.714285714,2611725.714285714,2234505.625,2236488.636363636,2826811.0,4460540.0,1,1
2022-01-08,4478838.0,2898376.0,308,897858.25,-1580462.0,2826811.0,117,4460540.0,35,98.0,1,3000.0,1,0.0,0,71565.0,2,15200.0,152,0.0,0,0.0,0,0.0,0,0.0,0,5,1,2,1,1,24160.777777777777,127444.0,0.6471267770792335,1602089.5,1588600.0,2861542.5,3471940.0,0.0,0.0,2435378.4285714286,2586514.285714286,2207009.2717391304,2208319.565217391,1481437.0,4375000.0,1,1
